,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Isle Royale,1005.56,1235.94,735.03,1518.01,1615.28,1163.59,1394.77,1271.94,1324.52,1378.35,1864.13,1067.16,1653.34,585.41,1652.67,1647.92,1624.84,658.91,1165.36,1460.68,1109.84,1429.05,1114.93,894.91,1406.47,966.19,451.17,0.0,1723.72,1705.4,1701.81,763.92,1258.91,1545.34,787.92,1491.28,1605.48,1412.42,1835.21,1790.43,995.11,1584.75,1726.52,835.6,700.34,201.49,1400.35,784.05,1073.34,1706.62,1443.7
Joshua Tree,2625.97,488.32,995.4,808.7,2213.24,563.25,334.15,451.84,403.21,674.54,202.86,2011.11,714.8,1941.77,176.76,2082.71,2173.64,1469.59,1040.46,264.65,738.52,368.79,643.44,1838.35,654.01,1307.56,1661.49,1723.72,0.0,255.89,555.94,1689.46,478.53,951.9,1963.06,1064.63,1055.05,360.43,350.8,682.04,729.02,330.93,240.64,2109.94,1118.84,1561.33,567.25,949.82,799.59,344.11,290.38
Kings Canyon,2656.37,508.38,971.93,1027.44,2385.11,605.62,355.38,483.17,416.7,865.18,198.51,2131.18,463.63,1999.11,103.74,2266.84,2349.32,1552.69,859.6,360.72,629.02,276.66,720.99,1946.6,850.18,1439.2,1712.86,1705.4,255.89,0.0,300.66,1786.35,556.84,712.84,2048.41,832.27,811.07,505.79,146.7,426.78,743.8,555.78,26.52,2189.56,1045.04,1525.99,755.86,922.11,683.65,88.22,305.91
Lassen Volcanic,2690.55,648.95,999.97,1290.38,2583.23,747.71,540.55,639.55,575.55,1108.83,461.44,2274.98,171.81,2075.3,388.2,2479.62,2552.0,1668.63,682.1,593.57,593.53,397.79,879.39,2080.5,1098.82,1609.45,1789.24,1701.81,555.94,300.66,0.0,1911.12,737.79,439.25,2155.08,567.1,525.77,742.03,277.24,141.85,838.63,835.23,319.29,2287.29,1005.53,1508.18,1002.44,949.75,628.76,212.88,506.06
Mammoth Cave,1057.8,1282.78,973.5,1131.28,869.84,1183.09,1430.97,1304.31,1371.59,1097.88,1879.24,380.6,1933.99,371.46,1699.29,885.45,872.1,244.83,1612.15,1444.9,1371.9,1536.24,1065.89,176.63,1127.9,431.23,312.77,763.92,1689.46,1786.35,1911.12,0.0,1232.55,1932.68,282.08,1927.73,2024.05,1329.06,1932.88,2036.54,1072.49,1425.45,1798.37,433.76,1114.92,853.08,1175.89,1014.91,1369.91,1825.74,1480.83
Mesa Verde,2147.49,119.09,552.06,624.86,1847.31,104.7,204.84,105.72,162.85,415.17,652.63,1574.34,822.29,1466.5,466.83,1741.84,1815.05,1003.35,848.75,217.06,468.0,340.12,168.16,1390.58,417.14,884.97,1184.43,1258.91,478.53,556.84,737.79,1232.55,0.0,952.08,1499.33,1020.8,1064.6,162.39,703.46,877.76,272.02,358.55,567.12,1643.43,723.29,1109.15,330.61,513.85,522.67,606.21,251.53
Mount Rainier,2550.53,835.94,959.66,1570.14,2702.44,912.35,805.79,847.13,803.7,1365.42,894.32,2312.1,270.54,2016.15,775.14,2627.52,2680.03,1689.47,384.71,894.81,574.98,661.14,1040.03,2109.0,1364.19,1717.33,1743.92,1545.34,951.9,712.84,439.25,1932.68,952.08,0.0,2138.63,130.35,112.79,1023.58,716.32,399.17,922.62,1170.08,736.31,2252.46,864.36,1343.85,1271.6,917.81,565.36,633.07,795.49
New River Gorge,797.07,1541.26,1183.79,1410.05,857.76,1442.9,1693.82,1565.24,1631.92,1379.91,2149.79,296.26,2164.6,220.13,1964.62,931.94,878.52,496.12,1796.05,1714.05,1594.98,1791.11,1331.46,213.48,1409.96,711.15,402.26,787.92,1963.06,2048.41,2155.08,282.08,1499.33,2138.63,0.0,2120.34,2223.02,1603.17,2194.33,2275.33,1319.9,1705.46,2061.73,151.73,1290.4,931.87,1457.06,1229.58,1585.43,2083.06,1744.37
North Cascades,2492.78,902.32,956.36,1644.55,2720.47,969.79,892.01,918.11,881.46,1435.98,1017.9,2308.29,400.17,1986.24,888.28,2654.61,2700.84,1687.31,328.95,986.33,604.53,753.71,1091.87,2104.36,1437.17,1740.5,1721.18,1491.28,1064.63,832.27,567.1,1927.73,1020.8,130.35,2120.34,0.0,117.34,1107.1,843.49,528.99,957.79,1264.45,856.51,2227.73,832.35,1290.47,1347.04,918.92,581.69,755.22,887.48
Olympic,2608.06,948.19,1050.68,1682.93,2804.16,1023.54,918.16,959.74,916.48,1478.13,986.28,2404.23,353.95,2093.51,878.54,2732.37,2782.76,1782.04,440.68,1006.38,678.19,772.83,1150.37,2200.62,1476.96,1820.46,1825.5,1605.48,1055.05,811.07,525.77,2024.05,1064.6,112.79,2223.02,117.34,0.0,1136.08,801.98,461.22,1028.72,1280.81,833.58,2333.13,939.08,1404.39,1384.38,1010.84,663.59,728.52,907.09
