,Acadia,Arches,Badlands,Big Bend,Biscayne,Black Canyon of the Gunnison,Bryce Canyon,Canyonlands,Capitol Reef,Carlsbad Caverns,Channel Islands,Congaree,Crater Lake,Cuyahoga Valley,Death Valley,Dry Tortugas,Everglades,Gateway Arch,Glacier,Grand Canyon,Grand Teton,Great Basin,Great Sand Dunes,Great Smoky Mountains,Guadalupe Mountains,Hot Springs,Indiana Dunes,Isle Royale,Joshua Tree,Kings Canyon,Lassen Volcanic,Mammoth Cave,Mesa Verde,Mount Rainier,New River Gorge,North Cascades,Olympic,Petrified Forest,Pinnacles,Redwood,Rocky Mountain,Saguaro,Sequoia,Shenandoah,Theodore Roosevelt,Voyageurs,White Sands,Wind Cave,Yellowstone,Yosemite,Zion
Gateway Arch,1442.0539051936687,1208.2257739799568,919.9627922930088,1164.9509365306608,1221.3975383758848,1075.0793491012487,1436.102225503062,1286.1170762745564,1297.3683687266364,1051.8722535393304,1893.0876804461939,773.5989322357432,2078.359256939473,543.4536059413027,1742.1399651037937,1372.6538887894692,1275.3062738606536,0.0,1715.3688086574405,1451.5496997534397,1339.4120834327525,1483.1154805933347,956.5978435934144,525.1887104310824,1100.7599991052255,398.14272150640255,317.3408544102441,930.1562002903046,1725.6415036188655,2001.4328819692992,1996.8347351467428,289.0298158752883,1156.2590098822873,2059.2073540523343,558.9289176210928,2064.5076503221185,2226.122879881492,1249.8616206354886,2020.8586852779763,2210.614386980036,915.0442664837349,1445.3124999999998,1958.9515976696093,791.207970452557,1186.071716177523,829.3664996420902,1099.870071283703,959.6177075876878,1363.6960152708184,1853.819630855802,1482.367349677881
Glacier,2579.5072402171318,915.594179988865,807.9149641096,1849.7930212558654,2935.8052100731725,1039.2262313091544,966.1870302433787,993.4854822834644,912.2346123637953,1602.022190408017,1425.4121555118109,2417.797748647896,802.2324624194703,1956.5990863357988,1241.600366360455,3087.061560486757,2989.713821283703,1715.1052229976933,0.0,1200.9103709337467,568.736951204963,925.713520540046,1233.299406466237,2189.945717012646,1650.9099359739123,1884.756956871868,1655.7630313966433,1367.4009410045335,1354.0152385071183,1318.7962300167023,1021.7920469458362,1997.0781883798613,1056.6770684204246,598.7585003579097,2147.7342942217447,559.7411119064662,721.3563414658395,1229.1097490654577,1245.0202069911716,1030.050194364909,1003.7535790980672,1486.7595119502107,1319.9614252763859,2292.565480096238,651.4140544221744,1143.8257451483337,1499.967875109361,805.0991584148571,468.7194906744611,1064.5578571144515,981.827688797423
Grand Canyon,2888.1973027519284,340.84403334526365,1125.3032291418117,983.4030511811023,2372.1987343911555,440.65395589755826,216.01776873061323,330.4502952755905,406.0759539290543,711.9613954505686,555.3476447546329,2034.8499140022268,1045.9223758251808,1989.59718991092,412.3850463294361,2523.4552090789784,2426.1076562872818,1446.6127192197564,1202.4023453034279,0.0,791.8761308955699,448.0346650560725,483.37645649407455,1849.633142448103,761.6442475940507,1261.2100334049153,1763.4843762427422,1991.691024417402,379.02120367056386,663.6929705519765,865.8431634255944,1720.2198535552373,301.3693156963334,1298.482487274318,2005.0724394535907,1461.3295852223016,1484.0099444245604,203.64173228346453,683.1186495864152,1130.5814667342718,691.5456235584188,374.7228063111429,621.2115619780482,2212.8656148095124,1305.3418038654258,1821.985852620695,611.7519933587847,1040.008724051539,889.3903354410244,644.2605807086613,272.7062082438558
Grand Teton,2583.9867051419706,504.77977362204723,566.2098345661337,1387.2431872862483,2563.903366837668,559.2647687504971,555.3725617394416,582.6710137795275,501.4202059969776,1139.472418575519,1014.5978112821123,2116.104760697526,847.6898661815001,1751.8243458204088,830.785959993637,2715.1597172512525,2617.8119780481984,1343.2033797621887,569.36714586813,790.0959024298099,0.0,514.8991763103476,646.9968508907976,1867.6945388928655,1188.3602884156526,1462.3930620178157,1449.7618284220152,1372.0579938161136,943.2008321403006,1110.2760503658633,877.2066755149924,1631.5355821999522,645.8625999164876,828.5379632943609,1901.4346839457567,862.7604166666666,1014.065606855961,818.2952805615207,1036.4999652032132,1090.9863894854052,512.7762616320687,1075.9452919947507,1080.4617285055276,2087.790615306609,557.220395390917,1138.6322004493754,1095.1738099498925,480.9152052016225,86.92765499483018,856.0376153264932,571.0133445677244
Great Basin,2790.7060268034675,345.012564125507,924.8125323113019,1276.5339790622763,2703.509939453591,468.6447397200349,220.50313668177841,422.90386642010657,275.6731314125507,1005.092447605981,650.8059184363318,2255.7115197248067,733.6977054004612,1958.5436674819055,466.99406714785647,2854.7662898671756,2757.4188613497176,1482.81007665235,926.4071572019407,447.07862333969615,515.8809427940826,0.0,650.0403891274954,2007.301297920146,1054.775299749463,1569.8626272568201,1656.4811500835121,1830.8605866738246,579.4090014316392,622.6566849598346,553.6184930008749,1771.1424655014712,486.0954525570667,897.1362244492166,2041.0414429730372,1059.9833845343194,1082.6638058736976,550.479636423288,629.6169743696811,767.3981448341684,642.0826125427503,732.9278886303985,666.8755095243777,2273.320371530263,1091.1050092460032,1610.3588170086691,904.8829833770778,839.5179029467907,613.3951473395371,410.04831782390835,207.2213895848246
Great Sand Dunes,2391.450802314483,339.2172835639863,683.741512069514,716.4560839696175,2028.0595696134571,203.98864382009066,603.2419420583791,328.82348335719394,464.50796100771487,468.68531525888807,1007.7998240276784,1685.2528110832736,1241.324663962459,1492.850503062117,909.2795573848723,2179.3161064383994,2081.968491509584,956.4097545335242,1233.738467350672,482.32571780800123,646.8515121689334,650.2550728744134,0.0,1500.0363502147457,517.5731229619024,911.612992623081,1277.6113124353774,1550.7911919390756,840.3537714745884,1116.1451498250217,1213.2478202298576,1244.7420191084068,223.5336261234391,1317.3261900501072,1514.6410587170922,1480.173287998091,1502.8538336117074,398.75688479280996,1135.5708288594608,1427.0274099260319,305.4666373379464,701.7970676250695,1073.6638033882127,1746.9201736856755,863.7799003817704,1381.0860201423684,405.70126710013517,598.4468827050027,812.0867260200429,1020.9592231368806,649.5068798218404
Great Smoky Mountains,1186.1303736180705,1732.2719691998725,1444.0090496500436,1457.2266712399585,858.4336847808796,1599.125482184045,1960.1483585858584,1802.5605464089715,1821.4145018094327,1384.7092355643044,2290.830922413107,263.600075558737,2602.40539002227,527.9242971049073,2147.8683239879106,1009.6901594687027,912.342544539887,524.9074156923566,2193.212576055834,1849.292941720353,1863.4582165155489,2007.1616136761313,1499.7747529428138,0.0,1433.5970432673187,619.8529338662212,563.8065572059173,1301.1388491211326,2123.384745585779,2399.175999661974,2520.8808682295394,238.4671642607174,1704.6771852382087,2583.2534871351304,281.38079863596596,2588.553783404915,2750.1690129642884,1647.604862602402,2418.60192724489,2734.660520062833,1439.0903995665312,1855.4184189334287,2356.694715362284,410.4764425753599,1569.0542233357194,1202.8320856199794,1497.6133132506163,1483.6638406704842,1887.7421483536148,2379.7438583671355,2006.4134827606774
Guadalupe Mountains,2542.5779075200826,747.49935377396,1101.2165826572814,279.16983565974704,1889.2132446512367,709.949892627058,819.7733362164956,737.105615704287,844.9501784578064,63.81227382088602,973.4070528115803,1568.5638371908055,1654.6302717131946,1643.9776082677165,963.7672244094488,2040.4695950648213,1943.1220422731246,1100.993199713672,1647.220544520003,758.8303060128846,1188.697568698799,1051.7901082677165,517.2198734391155,1433.5557220830349,0.0,836.0765628728227,1417.8648567366577,1786.9619546846416,765.1190795752804,1166.315467668814,1453.2699658991487,1304.1422467788116,640.1668008828441,1743.300686490893,1667.6925505050503,1906.147784438877,1928.8281436411355,557.1422890320528,1175.9687798258171,1623.431659110793,722.941770062833,441.81554720432666,1123.8341833691243,1796.7881944444441,1281.2551573808955,1664.9503151594683,192.2902126580768,1015.9220154298894,1229.5618587449296,1198.1663336117076,876.4617135926189
Hot Springs,1758.3939791616954,1225.174729579257,1090.6886905472043,859.7076199992046,1171.2606503022348,1074.991114391951,1322.4562306132186,1214.7809915095838,1384.5420867135924,787.1901843235504,1703.0513675137197,804.7243473116996,2201.854171637636,904.5782629444046,1560.088769088523,1322.517124990058,1225.1695721983615,399.5364570905909,1886.0945826373975,1261.5133868209655,1462.9069359937962,1570.289198580291,911.9951980434263,619.507637894695,836.0779298894456,0.0,709.9066451920783,1253.8738144237652,1535.6051906863913,1811.396631173944,2120.3296498449054,490.09428686471006,1116.897816750179,2182.7023930247356,853.6444041795911,2235.2334243020755,2368.2300365863357,1059.8253077030142,1830.8223723455021,2278.285127356239,1002.2179844706911,1257.8993676926748,1768.915346874254,982.7400481189851,1356.7975522945994,1131.8619884872344,893.09843016782,1086.445470949654,1503.7714124512843,1791.964303467748,1379.1447322635804
Indiana Dunes,1142.89107860097,1393.5008922890318,930.0854882486279,1482.1273761234388,1338.80873200509,1303.8927662451283,1621.3774059492562,1471.392070309393,1482.643424898592,1369.0486931321082,2111.226872564225,792.2949350791379,2187.473467450091,311.43726884991645,1927.4150212757493,1490.0652066929133,1392.7176539012166,317.56075767517694,1658.6043754473872,1768.726139346218,1448.526418217609,1655.3900222699433,1277.9827059969775,564.4429655810069,1417.9364386980035,709.5375507038892,0.0,769.0135856597469,2042.8179432116438,2219.57207408733,2105.9489456573606,371.5753126739839,1426.674160403245,2113.647734729181,490.0660766125825,2074.6302841406186,2236.2455136999915,1567.0380602282667,2265.242235345582,2319.7285974906545,1073.933292074286,1762.488939592778,2177.0906655134013,647.403538336117,1034.4460848643919,668.2238850115326,1417.046510876481,1022.0346923964048,1438.5838577706193,2006.1032942615125,1667.6424058498367
Isle Royale,1311.904602123598,1669.2462891712398,913.8470706076513,1852.9036054442056,2080.12134136642,1579.638349538694,1897.1229892428219,1747.1376536029586,1758.3888217808,1739.824922452875,2330.290789290543,1494.1934726198995,2145.637290722182,934.392211982025,2146.478938002068,2231.377816054243,2134.030076851189,926.3495560924202,1367.4481652151435,1992.9235141772049,1372.219674600334,1830.5921543187783,1553.7281028791854,1300.901858148413,1788.7126680187703,1256.2519262506958,766.7189239839338,0.0,2258.89387228585,2449.290207687107,2216.2208949733554,1108.034143104271,1702.4197436968104,1942.163390797741,1155.164713075638,1903.1461266205358,2064.761356179909,1832.4527260796942,2375.514371072934,2373.4551469418593,1288.7266488705957,2092.9908708144435,2396.154892925316,1270.3584814682256,842.1064731965322,296.7153697407142,1702.3091396245923,1005.796212618309,1298.6810153702377,2195.051834784856,1886.7063225761551
Joshua Tree,3162.961119561759,716.5394719836156,1353.3944886860731,989.6718787282271,2599.711621629682,840.1715233039051,535.1056703849518,688.6562475145153,599.4106915612821,811.2465700310188,225.97151385906307,2309.6137308120574,907.1947948977968,2264.360820309393,350.1720576831305,2750.9680963175056,2653.6203571144515,1721.376536029587,1354.9890514395927,378.70262666030385,944.4629613059731,579.8358213035871,841.5825330072377,2124.3969592579333,767.9131372782946,1535.9738502147457,2038.2481930525728,2259.4423566372384,0.0,418.8800529905352,705.8344890837508,1994.9836703650678,659.575267935258,1275.4959784856437,2279.836256263421,1412.4452571979637,1367.947436968106,478.4054248190567,428.53336514753835,875.9962444325141,1013.6094582637397,376.99143253400143,376.398644416607,2487.629431619343,1519.6869034836552,2038.9407112463214,670.2788838184999,1268.099859321562,1041.977041577189,450.7309189334287,416.48895450568676
Kings Canyon,3354.7057061759324,896.4452596834486,1533.300214248787,1391.1655929372464,2922.101179113974,1020.0773731408573,715.011520221904,974.3364998409289,779.3164792611151,1212.7402842400381,273.2034294718842,2584.752545136403,625.2876327248866,2522.54334685437,455.7865192277102,3073.3578402131548,2976.0101010101007,1996.5155367652903,1318.027407440547,663.9001978445876,1109.415575538853,625.3580962180863,1116.7213473315835,2399.5357735822795,1169.4069136244332,1811.1126645390914,2220.480829455977,2446.8025481189848,419.4341296826533,0.0,423.92745118507906,2270.122484689414,934.7141443967231,993.5888784498528,2554.9750705877673,1130.5381571621729,1086.040336932315,753.5443012805217,235.59338463373894,594.0891443967231,1193.5151838264535,778.4852088801399,111.81475184920066,2762.7682459436887,1631.9649496937882,2213.3766926151275,1071.7726601646384,1448.005709158514,1154.2550256502027,217.80682066730293,596.3947422055197
Lassen Volcanic,3241.5919157122403,908.2140300644237,1375.6984212200746,1678.1415284737134,3221.5085774079375,1031.8460813847132,740.4472257019008,986.1052702219041,782.0021698282033,1499.7162197765049,560.1792407341127,2773.709971267796,261.55377594846095,2409.429556390678,600.0137323033484,3372.764927821522,3275.4171886184677,2000.8085903324582,1021.3598832816351,866.056604430128,877.0046056032769,553.7633967629047,1213.2417307921737,2525.299749463135,1456.3828491609002,2119.9985832736816,2107.367038992285,2214.391702457647,706.4100652191203,424.28784647657676,0.0,2289.1407927702217,1049.2968563588643,629.8550216734271,2559.0398945160264,766.8043003857471,722.3064180187703,955.700645728943,349.5168838980355,242.4704724409449,1170.3815343394574,1065.4611444166069,425.4530417362602,2745.395639465521,1399.5539797582119,1980.9658469537897,1358.7486578382247,1290.403916129802,921.8441178517458,328.5303204286964,721.4688096516344
Mammoth Cave,1312.3283772767038,1493.4801384912112,1205.217156804263,1328.128106855961,989.6566551340172,1360.3336514753835,1721.3565278771969,1571.3713165115723,1582.6226711007712,1255.6105469060685,2161.7322337548712,488.0200255507834,2363.613559313608,426.31569136244326,2018.7696353296744,1140.9131919589597,1043.565577030144,286.11552284657597,2001.4235614014156,1720.194253062117,1624.6663236697684,1768.3697829674697,1241.8521459675494,239.6097416090034,1304.4982924719636,490.7542452079853,372.01754255149916,1111.8327716137753,1994.2861812017813,2270.0774352779763,2282.089037520878,0.0,1575.5786208542113,2344.4616564264693,361.885401753758,2349.7619526962535,2511.377182255627,1518.5061739441658,2289.5032385866534,2495.8686893541712,1200.29856885787,1726.3198545494313,2227.5961509782865,594.1643924481031,1377.2652086813011,1011.0430709655611,1368.5146245923802,1244.8720099618229,1648.9503176449532,2139.0739332299368,1767.6216520520159
